geohash,deposit,instrength,outstrength,indegree,outdegree,pagerank,fence_center
ws7fzr,0.0,0,0,0,0,0.000565379415091647,[ 24.527352   118.10321675]
ws7fzx,3.0,0,0,0,0,0.000565379415091647,[ 24.5270205 118.10297  ]
ws7fzy,0.0,0,0,0,0,0.000565379415091647,[ 24.5269695  118.10293325]
ws7fzz,3.0,0,0,0,0,0.000565379415091647,[ 24.526857  118.1030405]
ws7gnc,2.0,0,0,0,0,0.000565379415091647,[ 24.5212235 118.101761 ]
ws7gnf,-1.0,0,0,0,0,0.000565379415091647,[ 24.48852763 118.09136186]
ws7gng,-26.0,0,1,0,1,0.000565379415091647,[ 24.48775765 118.09150371]
ws7gns,54.0,2,2,2,2,0.002670207414399459,[ 24.4894048  118.09392049]
ws7gnt,12.0,0,1,0,1,0.000565379415091647,[ 24.48783733 118.09430453]
ws7gnu,-8.0,1,0,1,0,0.0018697828621744585,[ 24.46302473 118.09635938]
ws7gnv,-58.0,5,6,2,3,0.002457822300243678,[ 24.50045849 118.18401194]
ws7gnw,5.0,0,0,0,0,0.000565379415091647,[ 24.43978555 118.08691344]
ws7gnx,5.0,0,0,0,0,0.000565379415091647,[ 24.46898551 118.11708994]
ws7gny,-2.0,0,1,0,1,0.000565379415091647,[ 24.47436922 118.11493246]
ws7gnz,10.0,1,1,1,1,0.0011177442670865663,[ 24.48453628 118.10628614]
ws7gp0,1.0,0,0,0,0,0.000565379415091647,[ 24.48292227 118.10503951]
ws7gp1,9.0,0,0,0,0,0.000565379415091647,[ 24.47865125 118.12397389]
ws7gp2,-1.0,0,0,0,0,0.000565379415091647,[ 24.47659781 118.12764362]
ws7gp4,-30.0,0,0,0,0,0.000565379415091647,[ 24.47814252 118.12918206]
ws7gp5,12.0,0,0,0,0,0.000565379415091647,[ 24.48627408 118.07433401]
ws7gp8,-8.0,0,0,0,0,0.000565379415091647,[ 24.49067261 118.07586978]
ws7gpb,-12.0,0,0,0,0,0.000565379415091647,[ 24.49925575 118.0802012 ]
ws7gpc,0.0,0,0,0,0,0.000565379415091647,[ 24.50150175 118.08110321]
ws7gph,-3.0,1,0,1,0,0.0013658039673166472,[ 24.48123543 118.07321779]
ws7gpj,-92.0,1,1,1,1,0.0011177442670865663,[ 24.50525157 118.0836372 ]
ws7gpm,-55.0,1,1,1,1,0.02453123644952176,[ 24.50134353 118.08105196]
ws7gpn,5.0,1,1,1,1,0.0020930920260779657,[ 24.53649883 118.10603956]
ws7gpp,21.0,1,1,1,1,0.0020930920260779657,[ 24.50497121 118.12415789]
ws7gpq,-160.0,6,6,3,3,0.0046905920555344455,[ 24.50509462 118.12508239]
ws7gpr,11.0,5,0,5,0,0.0075186627811333825,[ 24.5090415 118.1246245]
ws7gps,0.0,0,0,0,0,0.000565379415091647,[ 24.48577114 118.14752675]
ws7gpt,-28.0,0,1,0,1,0.000565379415091647,[ 24.49143104 118.14903905]
ws7gpw,12.0,1,1,1,1,0.0011177442670865663,[ 24.49534657 118.14951448]
ws7gpx,20.0,4,3,4,3,0.01341466678444247,[ 24.48213625 118.147357  ]
ws7gpy,-34.0,1,1,1,1,0.02453123644952176,[ 24.50385463 118.15438352]
ws7gpz,-49.0,3,1,3,1,0.006303859653888148,[ 24.50516339 118.15455417]
ws7gqb,-56.0,1,1,1,1,0.02453123644952176,[ 24.51505907 118.15373076]
ws7gqc,-2.0,0,0,0,0,0.000565379415091647,[ 24.51612244 118.15348452]
ws7gqf,-22.0,0,0,0,0,0.000565379415091647,[ 24.53038825 118.14915225]
ws7gqg,1.0,0,0,0,0,0.000565379415091647,[ 24.52153663 118.1521418 ]
ws7gqu,0.0,0,0,0,0,0.000565379415091647,[ 24.53281305 118.14813801]
ws7gr0,-30.0,0,3,0,2,0.000565379415091647,[ 24.53591245 118.14683439]
ws7gr1,-72.0,7,6,2,2,0.001645269172103854,[ 24.53808541 118.14597538]
ws7gr2,-14.0,1,1,1,1,0.020368426844530555,[ 24.44557099 118.14660891]
ws7gr3,4.0,1,3,1,3,0.0008384207567175538,[ 24.44152685 118.1480862 ]
ws7gr4,8.0,2,1,2,1,0.05612186132176541,[ 24.45532523 118.14833852]
ws7gr5,-5.0,0,0,0,0,0.000565379415091647,[ 24.47819914 118.14256428]
ws7gr6,-126.0,0,0,0,0,0.000565379415091647,[ 24.4967146  118.18501548]
ws7gr7,0.0,0,0,0,0,0.000565379415091647,[ 24.51186957 118.16109537]
ws7gr8,-44.0,5,4,3,2,0.04054045390091507,[ 24.51875593 118.15801681]
ws7gr9,-42.0,2,2,1,2,0.0008415618410891067,[ 24.52390339 118.16617557]
ws7grb,-3.0,0,3,0,2,0.000565379415091647,[ 24.52737575 118.16673087]
ws7grc,6.0,0,0,0,0,0.000565379415091647,[ 24.51375214 118.16986226]
ws7grd,55.0,1,4,1,3,0.0022378351210995207,[ 24.51804119 118.17589554]
ws7gre,9.0,3,2,3,2,0.003422996917434612,[ 24.52236616 118.17966224]
ws7grf,-7.0,4,1,3,1,0.09670388993965864,[ 24.52572506 118.18176609]
ws7grg,-30.0,4,0,4,0,0.004341189766355598,[ 24.52700474 118.18198023]
ws7grh,-2.0,0,1,0,1,0.000565379415091647,[ 24.53387018 118.18012465]
ws7grj,15.0,2,0,2,0,0.0026942546941810174,[ 24.53333288 118.17988223]
ws7grk,0.0,0,0,0,0,0.000565379415091647,[ 24.43353433 118.11386739]
ws7grm,-3.0,0,0,0,0,0.000565379415091647,[ 24.43222957 118.11532041]
ws7grn,33.0,0,2,0,2,0.000565379415091647,[ 24.50464714 118.16166846]
ws7grp,63.0,0,0,0,0,0.000565379415091647,[ 24.50523671 118.16274793]
ws7grq,62.0,1,0,1,0,0.0008415618410891067,[ 24.50963894 118.17207076]
ws7grr,-14.0,1,1,1,1,0.0008415618410891067,[ 24.49517687 118.08147002]
ws7grs,0.0,0,0,0,0,0.000565379415091647,[ 24.50193425 118.128983  ]
ws7grt,-26.0,0,0,0,0,0.000565379415091647,[ 24.50176948 118.13926048]
ws7gru,1.0,4,3,3,3,0.002872259787371757,[ 24.49950432 118.1164174 ]
ws7grv,-18.0,1,2,1,2,0.0011053242935977505,[ 24.49832126 118.11382509]
ws7grw,-6.0,0,2,0,2,0.000565379415091647,[ 24.49451978 118.1025855 ]
ws7grx,-59.0,6,4,3,3,0.005457623398051285,[ 24.50723001 118.1094841 ]
ws7gry,-116.0,4,5,2,3,0.004638499373173565,[ 24.4666151  118.17533159]
ws7grz,133.0,12,10,7,3,0.007864635557967797,[ 24.46502084 118.17668875]
ws7gx0,11.0,1,0,1,0,0.0008415618410891067,[ 24.47136062 118.1831801 ]
ws7gx1,9.0,0,0,0,0,0.000565379415091647,[ 24.47371703 118.17782278]
ws7gx2,-53.0,3,2,3,2,0.003792628712639452,[ 24.47244992 118.18125122]
ws7gx3,-127.0,2,2,1,1,0.02453123644952176,[ 24.460277 118.171628]
ws7gx4,0.0,0,0,0,0,0.000565379415091647,[ 24.4566265 118.165529 ]
ws7gx6,7.0,0,0,0,0,0.000565379415091647,[ 24.455054   118.16230625]
ws7gx7,2.0,0,0,0,0,0.000565379415091647,[ 24.48504181 118.18284177]
ws7gx8,-30.0,1,1,1,1,0.0008415618410891067,[ 24.48870679 118.18347639]
ws7gx9,-37.0,0,1,0,1,0.000565379415091647,[ 24.53842334 118.15747019]
ws7gxb,81.0,0,2,0,2,0.000565379415091647,[ 24.54070718 118.15939672]
ws7gxc,-24.0,0,0,0,0,0.000565379415091647,[ 24.54401075 118.1607955 ]
ws7gxd,-17.0,1,0,1,0,0.0023432687986794545,[ 24.49191208 118.10806949]
ws7gxe,-18.0,0,1,0,1,0.000565379415091647,[ 24.49972128 118.10700889]
ws7gxf,7.0,0,0,0,0,0.000565379415091647,[ 24.4848605 118.1721585]
ws7gxg,2.0,0,0,0,0,0.000565379415091647,[ 24.45926759 118.08483161]
ws7gxk,4.0,0,0,0,0,0.000565379415091647,[ 24.46308624 118.08726632]
ws7gxs,-15.0,0,0,0,0,0.000565379415091647,[ 24.458691   118.08099516]
ws7gxt,-19.0,0,0,0,0,0.000565379415091647,[ 24.52003675 118.0919515 ]
ws7gxu,-7.0,0,0,0,0,0.000565379415091647,[ 24.51111553 118.08881384]
ws7gxv,-15.0,0,0,0,0,0.000565379415091647,[ 24.51134986 118.09259182]
ws7gxy,15.0,1,0,1,0,0.0011177442670865663,[ 24.51209576 118.10626934]
wsk4bn,0.0,0,0,0,0,0.000565379415091647,[ 24.51170734 118.11730894]
wsk4bp,0.0,0,0,0,0,0.000565379415091647,[ 24.47351509 118.11183928]
wsk502,-3.0,0,0,0,0,0.000565379415091647,[ 24.51886738 118.12019759]
wsk506,1.0,0,0,0,0,0.000565379415091647,[ 24.52345374 118.12011292]
wsk509,-1.0,0,0,0,0,0.000565379415091647,[ 24.48115992 118.17349744]
wsk50d,0.0,0,0,0,0,0.000565379415091647,[ 24.4735375 118.1684105]
wsk50e,-1.0,0,0,0,0,0.000565379415091647,[ 24.4714235 118.167369 ]
wsk50f,0.0,0,0,0,0,0.000565379415091647,[ 24.4798743  118.16460704]
wsk50g,2.0,0,0,0,0,0.000565379415091647,[ 24.46315275 118.1638825 ]
wsk50p,2.0,0,0,0,0,0.000565379415091647,[ 24.48389926 118.16788443]
wsk50r,-10.0,0,0,0,0,0.000565379415091647,[ 24.51750935 118.10560826]
wsk50u,0.0,0,0,0,0,0.000565379415091647,[ 24.50810649 118.09582165]
wsk50v,-2.0,0,0,0,0,0.000565379415091647,[ 24.50499856 118.09778058]
wsk50x,1.0,0,0,0,0,0.000565379415091647,[ 24.46297931 118.0703931 ]
wsk50y,-23.0,0,1,0,1,0.000565379415091647,[ 24.4665729  118.08991069]
wsk50z,-21.0,1,0,1,0,0.0007495010324232867,[ 24.46738901 118.09315847]
wsk51h,3.0,0,0,0,0,0.000565379415091647,[ 24.46996473 118.10340131]
wsk51j,3.0,0,0,0,0,0.000565379415091647,[ 24.46315036 118.06955516]
wsk51n,-61.0,0,0,0,0,0.000565379415091647,[ 24.53089684 118.13289233]
wsk51p,-86.0,0,2,0,2,0.000565379415091647,[ 24.53243914 118.1372002 ]
wsk51q,0.0,0,0,0,0,0.000565379415091647,[ 24.49881039 118.13577535]
wsk51r,56.0,1,0,1,0,0.002649100051711698,[ 24.497574 118.136062]
wsk520,-3.0,0,0,0,0,0.000565379415091647,[ 24.49044611 118.19098662]
wsk521,12.0,2,0,2,0,0.001936671360478823,[ 24.496771   118.19111875]
wsk522,5.0,0,1,0,1,0.000565379415091647,[ 24.48656555 118.1911107 ]
wsk523,-2.0,0,2,0,2,0.000565379415091647,[ 24.47778893 118.10026268]
wsk524,-10.0,6,3,4,3,0.0033722878827929592,[ 24.46645866 118.10410345]
wsk525,-82.0,2,4,1,3,0.0008384207567175538,[ 24.47579064 118.10073131]
wsk526,-54.0,2,5,2,3,0.0027024527478738346,[ 24.48135488 118.18545754]
wsk527,-190.0,0,3,0,3,0.000565379415091647,[ 24.49306787 118.13800006]
wsk528,8.0,0,0,0,0,0.000565379415091647,[ 24.4938935 118.1252675]
wsk529,-64.0,0,0,0,0,0.000565379415091647,[ 24.49293839 118.1242847 ]
wsk52b,-12.0,2,3,1,2,0.0011053242935977505,[ 24.5512632  118.12285318]
wsk52c,-31.0,0,3,0,3,0.000565379415091647,[ 24.55471569 118.12310719]
wsk52d,-62.0,1,1,1,1,0.0008415618410891067,[ 24.48570845 118.11696502]
wsk52e,-125.0,0,2,0,2,0.000565379415091647,[ 24.53871872 118.11236796]
wsk52f,-25.0,1,0,1,0,0.0007495010324232867,[ 24.4382655 118.140142 ]
wsk52g,5.0,0,0,0,0,0.000565379415091647,[ 24.53492218 118.15878072]
wsk52h,-31.0,1,1,1,1,0.0008384207567175538,[ 24.438891  118.0856975]
wsk52j,5.0,0,2,0,1,0.000565379415091647,[ 24.4354705 118.095235 ]
wsk52k,8.0,1,1,1,1,0.02453123644952176,[ 24.42720888 118.12165507]
wsk52m,12.0,0,0,0,0,0.000565379415091647,[ 24.47229127 118.08403083]
wsk52n,-13.0,2,0,2,0,0.0015102292955232448,[ 24.5235165 118.13541  ]
wsk52p,-23.0,0,1,0,1,0.000565379415091647,[ 24.52372975 118.1360545 ]
wsk52q,41.0,4,1,3,1,0.06606425275259224,[ 24.47907691 118.08172943]
wsk52r,-17.0,1,3,1,3,0.0008384207567175538,[ 24.545071  118.1541175]
wsk52s,-2.0,2,0,2,0,0.0010256834584207463,[ 24.53281779 118.09079431]
wsk52t,-20.0,0,0,0,0,0.000565379415091647,[ 24.52830984 118.09095705]
wsk52u,0.0,0,0,0,0,0.000565379415091647,[ 24.44843901 118.07912881]
wsk52v,1.0,0,0,0,0,0.000565379415091647,[ 24.47743628 118.07898814]
wsk52w,-90.0,3,5,2,3,0.0012433257586430483,[ 24.45346768 118.07870118]
wsk52x,16.0,1,2,1,2,0.0011053242935977505,[ 24.44697575 118.0817225 ]
wsk52y,28.0,0,0,0,0,0.000565379415091647,[ 24.515459   118.13248275]
wsk52z,10.0,0,0,0,0,0.000565379415091647,[ 24.46695368 118.07924954]
wsk530,-65.0,1,2,1,2,0.0008415618410891067,[ 24.474209  118.1573665]
wsk531,76.0,6,3,6,2,0.07773360874793522,[ 24.46053978 118.11043574]
wsk532,56.0,3,1,3,1,0.002132768223267258,[ 24.5181967  118.13180673]
wsk533,47.0,1,1,1,1,0.02453123644952176,[ 24.5109425  118.14124275]
wsk534,113.0,5,2,4,2,0.07650002996166975,[ 24.43420653 118.1138034 ]
wsk535,8.0,0,0,0,0,0.000565379415091647,[ 24.43365726 118.11460905]
wsk536,68.0,0,0,0,0,0.000565379415091647,[ 24.49144733 118.17953102]
wsk537,-4.0,0,0,0,0,0.000565379415091647,[ 24.53179176 118.17895059]
wsk539,4.0,0,0,0,0,0.000565379415091647,[ 24.54912961 118.11371892]
wsk53d,0.0,0,0,0,0,0.000565379415091647,[ 24.54874466 118.11410023]
wsk53e,0.0,0,0,0,0,0.000565379415091647,[ 24.52080887 118.13644534]
wsk53h,-1.0,1,0,1,0,0.0008384207567175538,[ 24.53638881 118.134006  ]
wsk53j,8.0,0,0,0,0,0.000565379415091647,[ 24.53421639 118.096412  ]
wsk53k,-12.0,0,1,0,1,0.000565379415091647,[ 24.54380033 118.10093711]
wsk53m,-8.0,1,3,1,3,0.0008384207567175538,[ 24.53838594 118.09473826]
wsk53n,2.0,2,0,2,0,0.001660612349178529,[ 24.44411279 118.08041601]
wsk53p,-19.0,0,1,0,1,0.000565379415091647,[ 24.54571668 118.10357287]
wsk53q,2.0,0,0,0,0,0.000565379415091647,[ 24.55775917 118.13069581]
wsk580,-20.0,0,0,0,0,0.000565379415091647,[ 24.42702037 118.12586087]
wsk581,-202.0,2,6,2,4,0.0011093842748948401,[ 24.4316807  118.13539268]
wsk582,-160.0,0,1,0,1,0.000565379415091647,[ 24.43330653 118.10233317]
wsk583,-309.0,0,9,0,7,0.000565379415091647,[ 24.446647  118.1572235]
wsk584,118.0,4,1,2,1,0.0009152521978396359,[ 24.4477945  118.15911425]
wsk585,10.0,0,0,0,0,0.000565379415091647,[ 24.51188663 118.18288151]
wsk586,-132.0,2,4,2,4,0.0038689296949520812,[ 24.50636516 118.18511703]
wsk587,101.0,4,1,4,1,0.003300561753453767,[ 24.54840515 118.1458435 ]
wsk588,-52.0,4,3,4,3,0.00385964181214705,[ 24.45148256 118.08437255]
wsk589,105.0,7,2,5,2,0.09486028561041476,[ 24.48314198 118.13838971]
wsk58b,10.0,0,1,0,1,0.000565379415091647,[ 24.50643465 118.14270142]
wsk58c,-4.0,1,0,1,0,0.0011177442670865663,[ 24.53130806 118.11843969]
wsk58d,-20.0,5,2,3,1,0.06895063502895306,[ 24.53257275 118.12020868]
wsk58e,-8.0,0,2,0,1,0.000565379415091647,[ 24.48850547 118.12569493]
wsk58f,45.0,4,2,3,1,0.047533585331207724,[ 24.46783765 118.06899147]
wsk58g,4.0,0,0,0,0,0.000565379415091647,[ 24.47315444 118.06980553]
wsk58k,-17.0,1,1,1,1,0.0008363429332689332,[ 24.47719645 118.14076475]
wsk58n,11.0,0,0,0,0,0.000565379415091647,[ 24.4909095 118.1659178]
wsk58s,2.0,1,0,1,0,0.001510369334811504,[ 24.50138614 118.17193619]
wsk58u,0.0,0,0,0,0,0.000565379415091647,[ 24.49730511 118.17060352]
wsk590,-5.0,0,1,0,1,0.000565379415091647,[ 24.49580264 118.16776219]
wsk591,1.0,0,0,0,0,0.000565379415091647,[ 24.52284616 118.09161674]
wsk592,-6.0,0,0,0,0,0.000565379415091647,[ 24.53875083 118.13587653]
wsk593,13.0,2,0,2,0,0.0016701091190814855,[ 24.54326274 118.11822728]
wsk594,1.0,0,0,0,0,0.000565379415091647,[ 24.45717607 118.068686  ]
wsk596,0.0,0,0,0,0,0.000565379415091647,[ 24.44256444 118.11845304]
