geohash,deposit,instrength,outstrength,indegree,outdegree,pagerank,fence_center
ws7fzr,-13.0,0,0,0,0,0.0005339031899445346,[ 24.527352   118.10321675]
ws7fzx,-140.0,4,1,4,1,0.01863049520553527,[ 24.5270205 118.10297  ]
ws7fzy,-76.0,2,1,2,1,0.008417743915615108,[ 24.5269695  118.10293325]
ws7fzz,-274.0,1,2,1,2,0.0006547087014497813,[ 24.526857  118.1030405]
ws7gnc,-61.0,0,1,0,1,0.0005339031899445346,[ 24.5212235 118.101761 ]
ws7gnf,-546.0,11,10,4,6,0.0038848924767448277,[ 24.48852763 118.09136186]
ws7gng,-1152.0,35,30,12,10,0.012370069335014711,[ 24.48775765 118.09150371]
ws7gns,-782.0,31,25,10,9,0.013766954181698885,[ 24.4894048  118.09392049]
ws7gnt,-662.0,18,9,9,4,0.010719632646799667,[ 24.48783733 118.09430453]
ws7gnu,-506.0,6,4,5,3,0.005635008533829309,[ 24.46302473 118.09635938]
ws7gnv,-3324.0,57,70,13,13,0.015278644636933915,[ 24.50045849 118.18401194]
ws7gnw,-112.0,3,3,2,2,0.003612527566902602,[ 24.43978555 118.08691344]
ws7gnx,-35.0,2,0,2,0,0.007037883719526906,[ 24.46898551 118.11708994]
ws7gny,-1532.0,33,34,11,8,0.012083321530072801,[ 24.47436922 118.11493246]
ws7gnz,-334.0,3,1,3,1,0.004367587421828824,[ 24.48453628 118.10628614]
ws7gp0,-4.0,9,4,6,2,0.008226529820244388,[ 24.48292227 118.10503951]
ws7gp1,-423.0,8,10,3,5,0.005927648640295357,[ 24.47865125 118.12397389]
ws7gp2,-15.0,0,0,0,0,0.0005339031899445346,[ 24.47659781 118.12764362]
ws7gp4,-442.0,7,12,3,5,0.00272921527001834,[ 24.47814252 118.12918206]
ws7gp5,-91.0,4,6,3,5,0.003032404670756711,[ 24.48627408 118.07433401]
ws7gp8,-191.0,1,0,1,0,0.0006547087014497813,[ 24.49067261 118.07586978]
ws7gpb,-63.0,0,1,0,1,0.0005339031899445346,[ 24.49925575 118.0802012 ]
ws7gpc,-18.0,1,5,1,5,0.0006547087014497813,[ 24.50150175 118.08110321]
ws7gph,-634.0,23,27,8,13,0.0074253374822504615,[ 24.48123543 118.07321779]
ws7gpj,-2819.0,85,79,16,12,0.017447236024633182,[ 24.50525157 118.0836372 ]
ws7gpm,-927.0,11,17,4,9,0.003244125803381267,[ 24.50134353 118.08105196]
ws7gpn,-3666.0,70,56,18,13,0.01794942651003659,[ 24.53649883 118.10603956]
ws7gpp,-767.0,27,13,11,7,0.01263838929911848,[ 24.50497121 118.12415789]
ws7gpq,-3883.0,78,99,17,18,0.012278377271240148,[ 24.50509462 118.12508239]
ws7gpr,-2091.0,65,44,17,12,0.012130427974648268,[ 24.5090415 118.1246245]
ws7gps,-31.0,1,2,1,1,0.0011634243407131265,[ 24.48577114 118.14752675]
ws7gpt,-189.0,4,9,3,5,0.0021400162675251147,[ 24.49143104 118.14903905]
ws7gpw,-624.0,31,18,11,8,0.00687930800798692,[ 24.49534657 118.14951448]
ws7gpx,-2828.0,72,64,17,13,0.008193330757939328,[ 24.48213625 118.147357  ]
ws7gpy,-193.0,6,11,4,6,0.0015329683654989807,[ 24.50385463 118.15438352]
ws7gpz,-1690.0,20,34,7,8,0.002579795398240785,[ 24.50516339 118.15455417]
ws7gqb,-1016.0,20,14,12,7,0.012757740382021007,[ 24.51505907 118.15373076]
ws7gqc,-320.0,9,5,7,4,0.004378093389237638,[ 24.51612244 118.15348452]
ws7gqf,-167.0,1,6,1,4,0.0006939643546533022,[ 24.53038825 118.14915225]
ws7gqg,-71.0,1,2,1,2,0.0009910890195932412,[ 24.52153663 118.1521418 ]
ws7gqu,0.0,0,0,0,0,0.0005339031899445346,[ 24.53281305 118.14813801]
ws7gr0,-974.0,23,21,11,8,0.009901850294164048,[ 24.53591245 118.14683439]
ws7gr1,-1062.0,28,25,13,8,0.010021950465445349,[ 24.53808541 118.14597538]
ws7gr2,-582.0,7,17,6,10,0.004401615589226972,[ 24.44557099 118.14660891]
ws7gr3,-1630.0,39,23,12,9,0.0077830441908973485,[ 24.44152685 118.1480862 ]
ws7gr4,-177.0,7,12,6,8,0.0039752231161954915,[ 24.45532523 118.14833852]
ws7gr5,-81.0,2,2,2,2,0.0018424857675125676,[ 24.47819914 118.14256428]
ws7gr6,-1110.0,26,37,8,15,0.005066905438691153,[ 24.4967146  118.18501548]
ws7gr7,-29.0,0,0,0,0,0.0005339031899445346,[ 24.51186957 118.16109537]
ws7gr8,-2284.0,61,69,13,16,0.006502788183112944,[ 24.51875593 118.15801681]
ws7gr9,-1651.0,29,35,9,12,0.005520124301453265,[ 24.52390339 118.16617557]
ws7grb,-1073.0,36,39,7,12,0.0035954044407982785,[ 24.52737575 118.16673087]
ws7grc,-1123.0,40,31,13,9,0.00565253007761492,[ 24.51375214 118.16986226]
ws7grd,-2222.0,56,52,12,11,0.0060171700786729515,[ 24.51804119 118.17589554]
ws7gre,-1803.0,43,39,8,9,0.004120722559837088,[ 24.52236616 118.17966224]
ws7grf,-2206.0,60,49,17,13,0.009284794794679214,[ 24.52572506 118.18176609]
ws7grg,-2578.0,52,57,13,14,0.006843391779940013,[ 24.52700474 118.18198023]
ws7grh,-92.0,4,5,2,4,0.001424619193518396,[ 24.53387018 118.18012465]
ws7grj,-137.0,6,8,4,5,0.0030459380694500345,[ 24.53333288 118.17988223]
ws7grk,-14.0,0,0,0,0,0.0005339031899445346,[ 24.43353433 118.11386739]
ws7grm,-29.0,1,5,1,4,0.0006939643546533022,[ 24.43222957 118.11532041]
ws7grn,36.0,14,3,10,3,0.01287061383132496,[ 24.50464714 118.16166846]
ws7grp,-200.0,6,2,4,2,0.0027777720683907136,[ 24.50523671 118.16274793]
ws7grq,35.0,14,5,8,3,0.010787086294970539,[ 24.50963894 118.17207076]
ws7grr,-383.0,12,12,7,6,0.0037864221346223244,[ 24.49517687 118.08147002]
ws7grs,3.0,0,0,0,0,0.0005339031899445346,[ 24.50193425 118.128983  ]
ws7grt,-372.0,8,10,5,7,0.002579208931042359,[ 24.50176948 118.13926048]
ws7gru,-2106.0,56,49,13,9,0.006627058545645893,[ 24.49950432 118.1164174 ]
ws7grv,-747.0,16,25,4,10,0.006243725677331886,[ 24.49832126 118.11382509]
ws7grw,-337.0,10,15,4,9,0.005329682639778549,[ 24.49451978 118.1025855 ]
ws7grx,-427.0,22,25,13,9,0.007235296797752659,[ 24.50723001 118.1094841 ]
ws7gry,-618.0,25,29,6,9,0.00495915748286562,[ 24.4666151  118.17533159]
ws7grz,190.0,35,25,10,10,0.005983805410961453,[ 24.46502084 118.17668875]
ws7gx0,-64.0,2,2,2,2,0.0033703728480571527,[ 24.47136062 118.1831801 ]
ws7gx1,-2.0,2,1,2,1,0.011185016865593235,[ 24.47371703 118.17782278]
ws7gx2,-362.0,14,18,5,8,0.0029456997561562595,[ 24.47244992 118.18125122]
ws7gx3,-465.0,4,14,4,10,0.0020492168821716035,[ 24.460277 118.171628]
ws7gx4,8.0,0,0,0,0,0.0005339031899445346,[ 24.4566265 118.165529 ]
ws7gx6,-72.0,2,1,2,1,0.009271033924397811,[ 24.455054   118.16230625]
ws7gx7,-13.0,3,1,3,1,0.0015067177729221723,[ 24.48504181 118.18284177]
ws7gx8,-438.0,2,2,2,2,0.0020940894543868376,[ 24.48870679 118.18347639]
ws7gx9,-320.0,3,3,3,3,0.002342542950698522,[ 24.53842334 118.15747019]
ws7gxb,-190.0,11,7,7,5,0.004085885952459157,[ 24.54070718 118.15939672]
ws7gxc,-253.0,5,2,5,2,0.004281015000462926,[ 24.54401075 118.1607955 ]
ws7gxd,-67.0,4,2,4,2,0.005058383361327074,[ 24.49191208 118.10806949]
ws7gxe,-214.0,2,7,2,6,0.0009243849279266885,[ 24.49972128 118.10700889]
ws7gxf,-5.0,2,2,2,2,0.0014843472490588586,[ 24.4848605 118.1721585]
ws7gxg,-1.0,1,0,1,0,0.0011434704260849932,[ 24.45926759 118.08483161]
ws7gxk,-47.0,3,3,2,2,0.0014520965001873275,[ 24.46308624 118.08726632]
