geohash,deposit,instrength,outstrength,indegree,outdegree,pagerank,fence_center
ws7fzr,0.0,0,0,0,0,0.0005575509256253517,[ 24.527352   118.10321675]
ws7fzx,26.0,0,0,0,0,0.0005575509256253517,[ 24.5270205 118.10297  ]
ws7fzy,0.0,0,0,0,0,0.0005575509256253517,[ 24.5269695  118.10293325]
ws7fzz,16.0,2,1,2,1,0.021187462575680487,[ 24.526857  118.1030405]
ws7gnc,-4.0,1,1,1,1,0.014310825358995435,[ 24.5212235 118.101761 ]
ws7gnf,9.0,3,0,2,0,0.0014570130807979175,[ 24.48852763 118.09136186]
ws7gng,-134.0,7,12,4,7,0.0036577178278153462,[ 24.48775765 118.09150371]
ws7gns,117.0,8,4,3,3,0.004980952253603458,[ 24.4894048  118.09392049]
ws7gnt,81.0,7,1,5,1,0.12056713047171481,[ 24.48783733 118.09430453]
ws7gnu,-34.0,2,4,1,3,0.0025091054557823548,[ 24.46302473 118.09635938]
ws7gnv,-162.0,20,21,7,7,0.014155261018101195,[ 24.50045849 118.18401194]
ws7gnw,34.0,1,1,1,1,0.0010613261769636705,[ 24.43978555 118.08691344]
ws7gnx,14.0,1,1,1,1,0.0010599451063498025,[ 24.46898551 118.11708994]
ws7gny,16.0,9,10,6,4,0.008158219621389889,[ 24.47436922 118.11493246]
ws7gnz,33.0,2,0,2,0,0.00399865497349873,[ 24.48453628 118.10628614]
ws7gp0,74.0,0,0,0,0,0.0005575509256253517,[ 24.48292227 118.10503951]
ws7gp1,-9.0,2,3,2,3,0.001563720357688121,[ 24.47865125 118.12397389]
ws7gp2,-2.0,0,0,0,0,0.0005575509256253517,[ 24.47659781 118.12764362]
ws7gp4,-94.0,2,1,2,1,0.0017610147818823993,[ 24.47814252 118.12918206]
ws7gp5,35.0,1,2,1,2,0.0008213421948481831,[ 24.48627408 118.07433401]
ws7gp8,0.0,0,0,0,0,0.0005575509256253517,[ 24.49067261 118.07586978]
ws7gpb,-32.0,1,0,1,0,0.0008261485199990833,[ 24.49925575 118.0802012 ]
ws7gpc,-12.0,0,2,0,2,0.0005575509256253517,[ 24.50150175 118.08110321]
ws7gph,-5.0,1,3,1,3,0.0008213421948481831,[ 24.48123543 118.07321779]
ws7gpj,-183.0,8,14,3,6,0.004000711096314003,[ 24.50525157 118.0836372 ]
ws7gpm,-148.0,4,4,4,2,0.00502012139871513,[ 24.50134353 118.08105196]
ws7gpn,15.0,19,13,6,3,0.019773574543007152,[ 24.53649883 118.10603956]
ws7gpp,67.0,8,4,6,3,0.020787351993960416,[ 24.50497121 118.12415789]
ws7gpq,-318.0,17,26,4,8,0.007029241686106482,[ 24.50509462 118.12508239]
ws7gpr,410.0,17,5,8,4,0.016408344829285812,[ 24.5090415 118.1246245]
ws7gps,-11.0,0,0,0,0,0.0005575509256253517,[ 24.48577114 118.14752675]
ws7gpt,-38.0,1,0,1,0,0.0010117388775237768,[ 24.49143104 118.14903905]
ws7gpw,87.0,10,7,5,5,0.008450476048993755,[ 24.49534657 118.14951448]
